FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
47,Gaogou,34.017499999999998,119.188599999999990,22.600000000000001,0.2265860,169.7500000,-55.5298004,35.5923996,10218.7998047,276.6910095,33.7533989,2953,6,-990489.728597000010000,-165297.027111000000000
48,Gaoyou,32.789299999999997,119.441800000000000,18.100000000000001,0.5604500,160.8269958,-31.6378002,41.5158997,10221.5996094,174.0480042,46.2126007,1918,5,-981334.757631000010000,-303511.969546000010000
49,Guiren,33.669699999999999,118.188900000000000,26.100000000000001,0.3095160,173.2949982,-59.3760986,34.4014015,10218.7001953,291.5570068,34.0392990,3641,22,-1085240.969070000100000,-193051.539277000000000
50,Haizhou,34.581699999999998,119.128900000000000,20.399999999999999,0.5558730,128.5070038,-20.3181992,50.5009995,10220.7998047,99.5999985,40.5988007,1658,10,-989226.309308000030000,-102356.431718000010000
51,Hede,33.772199999999998,120.261799999999990,27.100000000000001,0.5029580,145.3229980,-34.5237007,43.8161011,10217.5000000,171.7120056,47.2876015,1910,2,-895742.599091000040000,-202794.145450999990000
52,Huai'an,33.588600000000000,119.019200000000000,26.899999999999999,0.6558560,181.9259949,-64.7510986,32.2869987,10219.0000000,319.7229919,30.0291996,1675,14,-1010874.062350000000000,-210930.864777000010000
53,Huilong,31.811100000000000,121.655000000000000,50.799999999999997,0.6586250,129.3569946,17.6506996,60.1832008,10226.2998047,93.4475021,65.7322006,2101,7,-785715.497665000030000,-431654.741331000000000
54,Hutang,31.534300000000002,119.489999999999990,34.500000000000000,0.4114230,194.8659973,-61.4460983,31.0363998,10225.0000000,319.3810120,30.0930004,5067,8,-990454.257109000000000,-442490.639929000000000
55,Jiangyan,32.506100000000004,120.142799999999990,24.100000000000001,0.6137970,149.0809937,-7.2782001,49.0756989,10223.5000000,66.4534988,57.6119003,1897,9,-919755.568349999960000,-341624.896619000010000
56,Jiangyin,31.911000000000001,120.263000000000010,47.700000000000003,0.6205970,168.8829956,-27.2539005,40.9376984,10222.9003906,225.7700043,43.5922012,1848,10,-914613.536207000030000,-408477.307786000020000
